id,name,measurement_unit
1,абрикосовое варенье,г
2,абрикосовое пюре,г
3,абрикосовый джем,г
4,абрикосовый сок,стакан
5,абрикосы,г
6,абрикосы консервированные,г
7,авокадо,по вкусу
8,агава сироп,г
9,агар-агар,г
10,аграм,г
11,аджика,г
12,аджика зеленая,г
13,айва,по вкусу
14,айвовое пюре,г
15,айран,г
16,айсинг,г
17,акула стейки,г
18,алкоголь,стакан
19,алкоголь крепкий,ст. л.
20,алыча,г
21,альбухара,шт.
22,альмехи,г
23,амарантовая мука,г
24,ананасовый сироп,г
25,ананасовый сок,г
26,ананасы,г
27,ананасы вяленые,г
28,ананасы консервированные,по вкусу
29,анис,по вкусу
30,анис звездочки,г
31,анисовый ликер,мл
32,анис семена,г
33,анчоусы,г
34,апельсиновая вода,г
35,апельсиновая цедра,г
36,апельсиновая эссенция,ч. л.
37,апельсиновое варенье,г
38,апельсиновые цукаты,г
39,апельсиновый джем,г
40,апельсиновый джем с имбирем,г
41,апельсиновый ликер,г
42,апельсиновый сироп,стакан
43,апельсиновый сок,по вкусу
44,апельсиновый сок свежевыжатый,г
45,апельсиновый уксус,ст. л.
46,апельсиновый экстракт,ч. л.
47,апельсины,г
48,апельсины красные,шт.
49,апельсины крупные,шт.
50,арахис,г
51,арахис жареный,г
52,арахисовая паста,г
53,арахисовое масло,г
54,арахис соленый,г
55,арбузная мякоть,г
56,арбузы,г
57,аргановое масло,г
58,аришта,г
59,ароматизатор,г
60,"ароматизатор ""ананас""",по вкусу
61,"ароматизатор ""вишня""",капля
62,"ароматизатор ""малина""",капля
63,"ароматизатор ""ром""",г
64,артишоки,г
65,артишоки в масле,г
66,артишоки маринованные,г
67,аспирин,шт.
68,ассорти мясное,г
69,ассорти овощное,г
70,ассорти фруктовое,г
71,ассорти ягодное,г
72,аши,г
73,багет,г
74,багет вчерашний,г
75,багет мини,г
76,бадан,звездочка
77,бадьян,щепотка
78,базилик лимонный,г
79,базилик свежий,г
80,базилик сушеный,г
81,базилик тайский,горсть
82,базилик фиолетовый,г
83,баклажаны,по вкусу
84,баклажаны мини,г
85,баклажаны тайские,г
86,балык,г
87,бальзам,г
88,бальзамический крем,стакан
89,бальзамический соус,ст. л.
90,бальзамический уксус,стакан
91,бальзам рижский черный,ст. л.
92,бамия,г
93,банановое пюре,г
94,банановые чипсы,горсть
95,банановый зеленый сироп,мл
96,банановый ликер,мл
97,бананы,г
98,бананы мини,г
99,барабулька,г
100,бараний ливер,г
101,бараний окорок на косточке,кусок
102,бараний фарш,г
103,баранина,г
104,баранки,г
105,бараньи антрекоты,кг
106,бараньи голяшки,шт.
107,бараньи потроха,кг
108,бараньи ребрышки,шт.
109,баранья лопатка,кг
110,баранья нога,г
111,баранья печень,г
112,барбарис,г
113,барбарис вяленый,ст. л.
114,барбарис молотый,г
115,бастурма,г
116,батат,г
117,батон,г
118,батончики шоколадные,г
119,безе,г
120,бекон,по вкусу
121,бекон варено-копченый,г
122,бекон сырокопченый,г
123,белорыбица,г
124,бирнель,мл
125,бисквик смесь готовая,пакет
126,бисквит,г
127,бисквитная крошка,г
128,бисквитный корж,г
129,бисквитный рулет,г
130,бисквит шоколадный,г
131,бифштекс,шт.
132,блинная мука,г
133,блины готовые,г
134,блины овсяные,шт.
135,бобовые ростки,г
136,бобы,г
137,бобы мунг пророщенные,г
138,бобы тонка,шт.
139,ботарга,г
140,брезаола,г
141,бренди,г
142,брокколи замороженная,г
143,брокколи свежая,г
144,брусника замороженная,г
145,брусника свежая,г
146,брусника сушеная,г
147,брусничное варенье,г
148,брусничный соус,г
149,брынза,по вкусу
150,брынза сербская,г
151,брюква,г
152,буженина,г
153,бузина сироп,ст. л.
154,букет гарни,пучок
155,булгур,г
156,булка,кусок
157,булка белая,г
158,булка сдобная,г
159,булочки,г
160,булочки белые черствые,г
161,булочки бриошь,шт.
162,булочки вчерашние,шт.
163,булочки для гамбургеров,шт.
164,булочки зерновые,шт.
165,булочки ржаные,кусок
166,булочки с кунжутом,шт.
167,бульон,г
168,бульонные кубики,г
169,бурбон,г
170,Буррата,г
171,буряк,г
172,бусинки кондитерские,ч. л.
173,бусинки кондитерские серебряные,по вкусу
174,бычий хвост,г
175,ванилин,г
176,ваниль в стручках,г
177,ванильная настойка,ст. л.
178,ванильная эссенция,г
179,ванильный порошок,г
180,ванильный сироп,г
181,ванильный экстракт,по вкусу
182,варенье,г
183,васаби,г
184,вафельная крошка,г
185,вафельные коржи,г
186,вафельные трубочки,г
187,вафли,г
188,вафли шоколадные,г
189,вермишель,г
190,вермишель яичная,г
191,вермут,г
192,вермут белый,г
193,вермут сухой,г
194,ветчина,г
195,ветчина вареная,г
196,ветчина варено-копченая,кусок
197,ветчина копченая,г
198,ветчина пармская,г
199,ветчина сырокопченая,г
200,вешенки,г
